TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T001,Build Frontend,WebApp,3,javascript,react,[1,2],2
T002,Build Backend,API,4,python,django,[1,2],2
T003,Design UI,Design,2,design,figma,[2],1
T004,Write Tests,QA,1,testing,selenium,[1,3],1
T005,Create DB Schema,Database,2,sql,postgresql,[2,3],2
T006,Build REST API,API,3,nodejs,express,[1],2
T007,Secure Login,Security,2,security,penetration,[2],1
T008,Setup CI/CD,DevOps,2,devops,kubernetes,[3],1
T009,Style Layout,Frontend,2,html,css,[1],1
T010,Auth Flow,Frontend,3,typescript,nextjs,[2,3],2
T011,Data Processing,Backend,2,flask,python,[1,2],1
T012,Cache Layer,Database,2,mongodb,redis,[2],1
T013,Dockerize App,DevOps,1,docker,aws,[3],1
T014,GraphQL API,Backend,3,graphql,apollo,[1],2
T015,Unit Testing,QA,2,jest,mocha,[1,2],2
T016,Deploy Microservice,Infra,3,java,spring,[2],1
T017,Build iOS App,Mobile,3,swift,ios,[3],1
T018,Build Android App,Mobile,2,android,kotlin,[1],1
T019,Setup ASP.NET,WebApp,2,csharp,aspnet,[2],2
T020,Server Scripting,System,2,linux,bash,[1,3],1
T021,Pentest API,Security,2,security,nmap,[2],1
T022,Marketing Design,Design,2,photoshop,illustrator,[1],1
T023,Landing Page,Frontend,2,react,tailwind,[2],2
T024,Build API,Backend,3,nestjs,typescript,[1,2],1
T025,Experiment Module,Backend,2,rust,wasm,[3],1
T026,Setup Admin Panel,Backend,2,ruby,rails,[1],1
T027,Mobile Auth,Mobile,3,firebase,flutter,[2],1
T028,Git Training,Tools,1,git,github,[1],1
T029,Model Training,ML,4,pytorch,tensorflow,[2,3],2
T030,Desktop Tool,Desktop,2,c++,qt,[1],1
T031,Prisma DB Layer,Backend,2,graphql,prisma,[2],1
T032,End-to-End Testing,QA,2,selenium,cypress,[3],2
